Vehicle Type: Chevy Corvette (V8) 1998
Creation Date: 12/11/2012 4:57 PM
Notes: 

[Markers]

[Data]
Frame,Time,Engine RPM (SAE) rpm,Vehicle Speed (SAE) mph,Throttle Position (SAE) %,Ignition Timing Advance (SAE) °,Knock Retard °,Mass Air Flow (SAE) lb/min,Manifold Absolute Pressure (SAE) kPa,Engine Coolant Temp (SAE) °F,Intake Air Temp (SAE) °F,Delivered Engine Torque ft.lb,Trans Current Gear,Trans Input Shaft RPM rpm,Trans Output Shaft RPM rpm,TCC Mode,Delivered Trans Torque ft.lb,O2 Voltage B1S1 mV,O2 Voltage B2S1 mV,INJ. Pulse Width Avg. Bank 1 msec,INJ. Pulse Width Avg. Bank 2 msec,Short Term Fuel Trim Bank 1 (SAE) %,Short Term Fuel Trim Bank 2 (SAE) %,Long Term Fuel Trim Bank 1 (SAE) %,Long Term Fuel Trim Bank 2 (SAE) %,Cylinder Airmass g/cyl,Fuel Trim Cell,O2 Voltage B1S2 mV,O2 Voltage B2S2 mV,Fuel Tank Level gal
1,00:00.000,1200,0,0,9.5,0.0,1.911,34.0,-40,-40,0,0,0.0,0.0,0,0,0,0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.00,0,0,0,0.00
2,00:00.203,1195,0,0,10.0,0.0,1.905,34.0,-40,-40,0,0,0.0,0.0,0,0,0,0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.00,0,0,0,0.00
3,00:00.968,1195,0,13,10.0,0.0,1.905,34.0,-40,70,25,1,0.0,0.0,0,26,460,456,3.8,3.8,0.0,0.0,10.2,13.3,0.18,20,447,447,18.62
4,00:01.108,1111,0,13,12.0,0.0,1.841,35.0,-40,70,25,1,0.0,0.0,0,26,460,456,3.8,3.8,0.0,0.0,10.2,13.3,0.18,20,447,447,18.62
5,00:01.217,1093,0,13,12.5,0.0,1.831,36.0,-40,70,25,1,0.0,0.0,0,26,460,456,3.8,3.8,0.0,0.0,10.2,13.3,0.18,20,447,447,18.62
6,00:01.342,1087,0,13,12.0,0.0,1.802,35.0,-40,70,25,1,0.0,0.0,0,26,460,456,3.8,3.8,0.0,0.0,10.2,13.3,0.18,20,447,447,18.62
7,00:02.044,1087,0,13,12.0,0.0,1.802,35.0,-40,70,33,1,0.0,0.0,0,32,460,456,3.7,3.7,0.0,0.0,10.2,13.3,0.18,20,447,447,18.62
8,00:02.153,1073,0,13,13.0,0.0,1.749,35.0,-40,70,33,1,0.0,0.0,0,32,460,456,3.7,3.7,0.0,0.0,10.2,13.3,0.18,20,447,447,18.62
9,00:02.262,1064,0,13,13.0,0.0,1.749,35.0,-40,70,33,1,0.0,0.0,0,32,460,456,3.7,3.7,0.0,0.0,10.2,13.3,0.18,20,447,447,18.62
10,00:02.387,1070,0,13,13.0,0.0,1.739,35.0,-40,70,33,1,0.0,0.0,0,32,460,456,3.7,3.7,0.0,0.0,10.2,13.3,0.18,20,447,447,18.62
11,00:03.105,1070,0,12,13.0,0.0,1.739,35.0,-40,70,30,1,0.0,0.0,0,28,464,460,3.4,3.6,0.0,0.0,10.2,13.3,0.18,20,447,451,18.62
12,00:03.214,1046,0,12,13.0,0.0,1.681,35.0,-40,70,30,1,0.0,0.0,0,28,464,460,3.4,3.6,0.0,0.0,10.2,13.3,0.18,20,447,451,18.62
13,00:03.354,1028,0,12,13.0,0.0,1.667,35.0,-40,70,30,1,0.0,0.0,0,28,464,460,3.4,3.6,0.0,0.0,10.2,13.3,0.18,20,447,451,18.62
14,00:03.386,1028,0,12,13.0,0.0,1.667,35.0,81,70,30,1,0.0,0.0,0,28,464,460,3.4,3.6,0.0,0.0,10.2,13.3,0.18,20,447,451,18.62
15,00:03.495,1028,0,12,13.0,0.0,1.664,35.0,81,70,30,1,0.0,0.0,0,28,464,460,3.4,3.6,0.0,0.0,10.2,13.3,0.18,20,447,451,18.62
16,00:03.635,1022,0,12,13.0,0.0,1.639,35.0,81,70,30,1,0.0,0.0,0,28,464,460,3.4,3.6,0.0,0.0,10.2,13.3,0.18,20,447,451,18.62
17,00:04.337,1022,0,12,13.0,0.0,1.639,35.0,81,70,29,1,0.0,0.0,0,28,469,460,3.4,3.5,0.0,0.0,10.2,13.3,0.18,20,451,447,18.62
18,00:04.446,1001,0,12,13.0,0.0,1.575,35.0,81,70,29,1,0.0,0.0,0,28,469,460,3.4,3.5,0.0,0.0,10.2,13.3,0.18,20,451,447,18.62
19,00:04.602,1001,0,12,13.0,0.0,1.554,35.0,81,70,29,1,0.0,0.0,0,28,469,460,3.4,3.5,0.0,0.0,10.2,13.3,0.18,20,451,447,18.62
20,00:04.743,969,0,12,13.0,0.0,1.544,35.0,81,70,29,1,0.0,0.0,0,28,469,460,3.4,3.5,0.0,0.0,10.2,13.3,0.18,20,451,447,18.62
